,track_name,rms_level,spectral_centroid,bandwidth,zero_crossing_rate,band_energy_ratio,delta_spectrum_magnitude,pitch,pitch_strength,mfcc_mean,mfcc_std,average_roughness,std_roughness,one_2hz_loudness,three_15hz_loudness,twenty_43hz_loudness,sharpness,gamma_0Hz_energy,gamma_3-15Hz_energy,gamma_20-150Hz_energy,gamma_150-1000Hz_energy
0,(Person) (Noun) - 1 vs 7 Billion.wav,0.15746024,2920.8012428139546,2701.8824750517942,0.14042585646300967,0.9739977852730489,0.0003129808228246149,22.25537121145318,0.2638925424803917,"[-102.93966144868605, 64.69174981793817, 5.972093840932574, 19.430820850084853, 0.4862139906091519, 2.8563561208572152, -5.910766395631413, 0.9402293148499169, -11.07433953166105, 3.139861608105681, -5.599651335087992, -4.146772971461699, -11.848061098661475]","[118.59238482093691, 33.27258624346745, 25.428761710696573, 15.500999731132222, 15.796527010059723, 10.64854675147934, 12.260920592929734, 8.42095078192036, 11.948719925124093, 8.511679163916137, 8.351616849582774, 7.056155979050005, 8.931624392376198]",0.008024327376778044,0.08957861004044461,0.0,0.11977154546529976,0.18505416843239844,0.26492533607777713,0.0,0.26031392545685655,0.6783357523157318,4.389996331506577
0,(Person) (Noun) - A Punk Song About How Law Enforcement Ruins Everything.wav,0.1658382,2932.7743974902796,2713.2975804100897,0.1408585486981272,1.0510345636419363,-0.001172584731260729,23.83628764899007,0.2945013646991711,"[-70.4964610736624, 65.04614208414945, 2.299890730124801, 15.559128925311017, -0.2064836802041088, 5.137640143288938, -7.706805212973697, -0.6782930237016978, -11.47159081606968, 3.303659787904365, -3.9010385781023844, -4.107268444934322, -12.345548760463979]","[100.96273545790599, 27.775655259095068, 20.066090495477013, 12.676053065739781, 13.493907626378547, 9.813176211140913, 11.118479190562578, 7.857276865513626, 9.171837956309442, 7.662262251651997, 7.968014755888366, 6.828851586570989, 8.78998698282653]",0.005311693562938913,0.07288136636300745,0.0,9.115820306852863e-13,2.0303547323861078e-12,0.2660113532253381,0.0,0.032898780245223,2.4967159346634507,14.446632406565076
0,A Fine Frenzy - Avalanches (Culla's Song).wav,0.18447533,1176.5010868477113,1831.5810506673492,0.03370584294924441,2.8790791793155064,0.0005160084043099358,2.9919850192597908,0.12895422151990477,"[-200.97008709103406, 122.55531397138931, 25.5926016060749, 34.25361144009232, 21.757464663448317, 12.297497712139421, 10.91136312256176, 8.288518535829882, 9.375695952706355, 7.153829523045204, 1.5127846496945399, 3.7816549334840768, 0.3797302622247337]","[126.55936482303699, 41.40496579356795, 24.507053468904243, 15.045015814126797, 14.597284653071092, 11.421923546631444, 11.79135684935938, 9.554771286450018, 9.619451520441281, 9.27017981578743, 9.50631144490675, 7.456808668913356, 8.820327410581227]",0.0005401364327998705,0.023240835458302064,0.0,0.0,0.0,0.10671213954530391,0.0,0.0,0.09916259183633636,3.909602522222799
0,A Fine Frenzy - Dream In The Dark.wav,0.03417956,996.8516639789685,1266.3109015176192,0.04308714001313966,8.542644677806079,-0.0005945895574477666,7.709749794826816,0.0364627675259218,"[-406.1465754028874, 128.86041659583714, 13.18478744890632, 13.64732681969533, 14.12682778511178, -8.16394900205392, -13.643999081461324, -5.704408764340633, -11.1896311080754, -14.316655733865748, -12.019870471559173, -14.009218012092957, -17.065816151896904]","[66.47073035354519, 40.729496988513446, 20.429407677437364, 10.95023389482619, 9.134610701762048, 8.948866204559915, 10.044370438408025, 9.650687974781299, 9.080805024364809, 8.717200666410596, 8.68246567225668, 8.257791364788599, 8.459746665401289]",1.8227274603819373e-05,0.004269341237687539,0.0,0.003984177117839079,0.005103023900371925,0.0904174048882515,1.0732417748497737e-05,0.00016500720715874274,0.0033040901240397225,1.132677979606547
0,A Fine Frenzy - It's Alive.wav,0.21615596,2485.363757169544,2611.7399645862774,0.10517099664775657,1.5563181975376812,-5.6642690599298875e-05,18.314821508178785,0.22546605716527518,"[-86.91501261249805, 77.28619156507398, 0.8953530097262057, 17.715833597591562, 4.662113875192688, 9.064704411577832, 5.246074085348671, 9.402028820011479, 6.204309305402613, 8.336967186790861, 0.9397579693127142, 1.8338726879789295, 0.41098923545452376]","[117.79682722350533, 37.10083145146096, 18.595123092401458, 19.402515280090903, 12.50853751593347, 15.46750531155451, 12.538884344292946, 10.35330062392352, 10.473967509644144, 10.169819657833287, 9.292461339411526, 8.54883012334891, 9.123368696600787]",0.0029281580288797516,0.05411245724303926,0.0,0.0015250191035385185,0.0009938789431796504,0.22542981924419858,0.0,0.00014247559525229213,0.7918271060416329,4.5959738277011
0,A Fine Frenzy - Now Is The Start.wav,0.26911426,2040.0223017610087,2444.395723516554,0.06725537546737612,1.5817840138748525,-2.3603336430283805e-06,10.134332699431324,0.22131924185598648,"[-61.168435318326786, 97.98272392292522, 5.31598854236691, 23.25472329482554, 7.554654087499724, 12.831673840969623, 7.034458367159364, 6.607776727513031, 3.810875322866837, 9.42734247419602, 2.4675102047167274, 5.992034199271428, -0.9078116844835666]","[105.50145605574555, 27.046331958051688, 19.781322734490743, 12.849597705962754, 9.706034810797163, 9.782492883803645, 8.133294152565911, 8.556316088010501, 7.082303058497116, 8.27874884096879, 7.7744930252898055, 6.718287241397125, 6.965288429893401]",0.0030306645078193167,0.05505147144100071,0.0,0.0009729102636745876,0.0008892097913040964,0.18503603644074,8.571005014105588e-07,9.637744709345571e-05,0.601494084707375,9.504517928585942
0,A Fine Frenzy - Pinesong.wav,0.057938766,1358.8447333901097,1994.984929757816,0.04108227996474552,2.7691489360010615,-0.00010948806698917107,4.847558942800969,0.04126725065327929,"[-279.30576948324364, 116.27792493784112, 18.19012982102092, 27.642395559744898, 13.975054963161815, 8.951110785334256, 4.156873390625886, 8.037731941771122, 5.8800089335466215, 7.963063107375922, -1.722218652582846, -0.728023683783799, -2.73508650828812]","[104.83557963624571, 33.520074882565666, 16.47859740050579, 15.741029113257099, 12.501527170734137, 9.444659924842304, 10.166464579928018, 10.450331956550691, 9.974478689594871, 10.476538558045196, 7.244619437150933, 7.088746716590618, 7.224620806598167]",7.03453969481837e-05,0.008387216281233225,0.0,0.0,0.0,0.12325123504258483,0.0,0.0,0.005244746223425138,0.4884916055653489
0,A Fine Frenzy - Riversong.wav,0.036215395,1602.8333902391735,2351.3014682142953,0.046754175364938526,2.4743597272351048,-0.00023358191197144152,3.66784218819577,0.03252966358170083,"[-373.6666856136405, 114.90659260558425, 40.32845821326549, 27.639027970776056, 28.046623205509867, 6.832225749988244, 7.280473047345105, -2.6558811087953975, 8.482413109519069, -2.505231861671462, -4.28860122735686, 1.3060672268946387, -5.249785586308907]","[105.30727758190955, 44.303277620290736, 23.34416204269827, 18.61211595796528, 12.65959816354148, 14.102851767527193, 12.189374013142448, 13.857778929036915, 10.15291218979596, 10.387119117631514, 10.344280904638374, 8.757509431121989, 10.772588528264802]",5.509202374513341e-05,0.007422400133725843,0.0,0.0014608805372053361,0.0003187619125119903,0.14538172753548456,2.1194162989531902e-14,8.891290756924758e-05,0.3157972762713013,0.7657816557231709
0,A Fine Frenzy - Sailingsong.wav,0.23761466,1797.881285129486,2417.70339098006,0.05769939833595045,2.3402289534891985,-5.018508954289385e-05,7.611650603462167,0.21610782495963804,"[-105.44921196128885, 109.27776556579786, 19.382923144494345, 24.812412196128438, 14.612920636242821, 11.776585232844573, 4.998792106609684, 6.60395558893517, 3.5400089680697593, 5.648755729714643, -1.8413941319158869, 0.7344446960834982, -2.097885819983087]","[107.46567787694342, 32.38656066756354, 21.01525801630791, 13.364130458906354, 12.000257804845953, 11.046059799399007, 9.68858328320041, 7.800636847285791, 7.937831735948752, 7.61982494591621, 7.990606254343646, 7.036465999862934, 7.57602469182111]",0.0013420373446121584,0.03663382787277571,0.0,4.7204114431769816e-05,4.117933038170545e-05,0.1630731324379007,0.0,5.61734892302835e-05,1.45276309938768,10.690007534283483
0,A Fine Frenzy - The Sighting.wav,0.10184112,1337.6253345630503,1961.6482579547994,0.03962662526120269,3.1429488642816206,-0.00037783308620476154,3.6692014839453835,0.05559496899309024,"[-272.73339999667326, 124.28474647251403, 28.453649401387356, 29.260255466710248, 14.000957968621806, 5.2996095300416775, 11.875808975037032, -0.8722692215681649, 2.1062440976148347, -0.4107474436251142, -3.6274039178082966, -1.1529224869045334, -0.861296391146705]","[87.11928584621396, 46.546495274276424, 29.938440565155123, 18.36621247100058, 13.054779450914697, 14.727040843144547, 12.406264203760673, 12.966570318781228, 10.552190240951317, 10.774718031925998, 10.156983714449972, 8.727709271758702, 11.704567593254259]",0.00020909074911268916,0.014459970577863883,0.0,0.007515021623396025,0.005621588114756464,0.1213265792990067,1.4904215290503325e-05,0.00025194455386841694,0.7357231225014454,6.825169824271283
